task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
85	2.5533194311694274	4	1514.922556597427	32.55331943116943	27.70078266736145	29.45129548862722	0.9400428466459658	3	2135.891491171042	30.940042846645966	28.794425405214472	29.34822441735775	0	0	0	1	1	0	0	0	0	0	0	0
86	3.896027397019708	2	1609.548966414107	33.89602739701971	27.771992376897753	30.00829832610798	1.242641191855526	3	2223.110531164972	31.242641191855526	28.822565816555173	30.25223941679233	0	0	1	1	0	0	0	0	0	0	0	0
87	6.851880097761672	4	1712.4271316870252	36.85188009776167	27.875172919180297	31.071601352527665	0.49411902614686554	3	2305.481115550312	29.505880973853134	28.830330761524465	31.065853221239358	0	0	0	1	1	0	0	0	0	0	0	0
88	5.038938242538258	0	1810.2441676141111	35.03893824253826	27.955664664386568	31.630693112138722	1.8250078954567108	3	2384.136301842162	28.17499210454329	28.82296740582805	31.659612726598493	1	0	0	1	0	0	0	0	0	0	0	0
89	1.1441934805740885	0	1890.7999608141752	28.85580651942591	27.965666240553674	31.4429252986752	1.9065558972573236	2	2473.2087703886723	31.906555897257324	28.857229500177265	31.89660847020702	1	0	1	0	0	0	0	0	0	0	0	0
90	1.6773089090600592	3	1969.8674734430492	28.32269109093994	27.969589590557916	31.47354563618407	7.749727071091343	2	2578.593425128802	37.74972707109134	28.954949253703795	32.154514058628614	0	0	1	1	0	0	0	0	0	0	0	0
91	1.7124773925377887	0	2048.8368073888814	28.28752260746221	27.97304538421992	31.59366357967287	2.278584970774922	3	2668.704474838882	32.27858497077492	28.99107572888935	31.69725795756481	1	0	0	1	0	0	0	0	0	0	0	0
92	0.36084553131940567	0	2133.5941678304816	30.360845531319406	27.998720654618836	31.048154500920578	1.0563276171797007	3	2755.403389436842	31.0563276171797	29.013282738440857	31.20319916525323	1	0	0	1	0	0	0	0	0	0	0	0
93	0.302980173380778	3	2216.4983481797935	29.697019826619222	28.016787667086923	30.669007323661326	3.1989866390142083	3	2830.222885069594	26.80101336098579	28.989747957829636	30.531609449305574	0	0	0	2	0	0	0	0	0	0	0	0
94	0.12878021472286605	0	2299.8888367470254	29.871219785277134	28.036308005173133	30.633150775890705	2.76510555158686	3	2906.2536320714144	27.23489444841314	28.971275815625255	30.16598463100628	1	0	0	1	0	0	0	0	0	0	0	0
95	3.1196055002134884	0	2374.9299380589296	26.88039449978651	28.024267239492023	30.021754971890935	0.9042542140692582	3	2987.4792557238043	29.095745785930742	28.972572377815936	29.156356843374873	1	0	0	1	0	0	0	0	0	0	0	0
96	17.73520965498269	0	2409.1691444387698	12.264790345017312	27.86179840552837	27.55408361713039	3.402259298907232	3	3061.7312818476885	26.597740701092768	28.948089577024977	26.985999190162175	1	0	0	1	0	0	0	0	0	0	0	0
97	3.1296126995104494	4	2484.18230898597	26.87038730048955	27.851681965681035	26.63695336707919	1.4946259544955183	3	3149.6537793039884	31.49462595449552	28.974074642101204	26.680783200810765	0	0	0	1	1	0	0	0	0	0	0	0
98	2.2233714538681824	0	77.54308802461799	27.776628546131818	27.85092385033205	26.488744072762028	3.669328913730631	3	3223.1602360864904	26.33067108626937	28.947373596082702	26.441709845290386	1	0	0	1	0	0	0	0	0	0	0	0
99	1.162325437191047	0	158.04826284579298	28.837674562808953	27.86079135745682	26.338355323043565	3.460073107062449	3	3297.2508653292743	26.53992689293755	28.92329912905125	26.26885856749601	1	0	0	1	0	0	0	0	0	0	0	0
100	2.905913157681674	1	233.68592194726497	27.094086842318326	27.853200223643565	26.290227801749193	1.1416934121528328	1	3377.8136378870145	28.858306587847167	28.922655638544278	26.266483881940832	0	2	0	0	0	0	0	0	0	0	0	0
101	1.9157934670051375	1	312.08766518520895	28.084206532994862	27.855464991382302	27.848425500738593	1.3378066449270527	1	3457.8289276699265	28.662193355072947	28.920102086745537	28.054870766136606	0	2	0	0	0	0	0	0	0	0	0	0
102	7.083301843773135	2	415.6118828324089	37.083301843773135	27.94505564043464	29.076162220464965	2.1076161847479398	1	3535.6951658208386	27.89238381525206	28.910124239449484	28.71593800654062	0	1	1	0	0	0	0	0	0	0	0	0
103	5.295920804426501	2	514.1463284114329	35.2959208044265	28.015737036242253	29.46786723237009	0.48208684270423774	3	3618.0993400516227	29.517913157295762	28.915968363659545	29.786591439472726	0	0	1	1	0	0	0	0	0	0	0	0
104	7.0393610558586275	3	617.5478780257049	37.03936105585863	28.101676312619553	30.606760088777698	8.31760962025075	3	3725.069333574823	38.31760962025075	29.005507804198505	31.78452836150901	0	0	0	2	0	0	0	0	0	0	0	0
105	3.387297899243457	3	710.7540846610929	33.38729789924346	28.151540667210345	32.41384946720153	0.41391768300896814	3	3807.6638133764227	29.586082316991032	29.01098492224372	32.48662704011591	0	0	0	2	0	0	0	0	0	0	0	0
