task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
96	34.98500756180899	0	8893.79682338656	34.98500756180899	33.854262293620536	35.16812008526965	30.948329811664248	0	8887.030697319631	30.948329811664248	33.828507015966885	34.87141496802583	2	0	0	0	0	0	0	0	0	0	0	0
97	35.74544240251939	0	8990.60739656005	35.74544240251939	33.873560049833785	34.36118778076519	31.645912381289726	0	8972.738376685624	31.645912381289726	33.80623564214365	34.03492113861604	2	0	0	0	0	0	0	0	0	0	0	0
98	33.8348788432896	0	9082.243526760625	33.8348788432896	33.87316933057576	34.33865779709229	32.512225348512	0	9060.792320337843	32.512225348512	33.79316483109686	34.55944885288017	2	0	0	0	0	0	0	0	0	0	0	0
99	30.271636017809723	0	9164.229207642193	30.271636017809723	33.837153997448105	34.4630280571854	30.196274492448005	0	9142.573897088223	30.196274492448005	33.75719592771037	34.234896251934316	2	0	0	0	0	0	0	0	0	0	0	0
100	30.59595766909514	0	9247.093259662659	30.59595766909514	33.80506294469213	34.03837246940762	30.558122028057596	0	9225.335477580878	30.558122028057596	33.725521928703905	32.12937865564944	2	0	0	0	0	0	0	0	0	0	0	0
101	31.74911641985871	0	9333.080449966443	31.74911641985871	33.784906606213376	31.805789541454413	36.6396436454592	0	9324.567845787331	36.6396436454592	33.754091749456414	32.37492092483391	2	0	0	0	0	0	0	0	0	0	0	0
102	37.5477370655904	0	9434.772237852416	37.5477370655904	33.821438940770435	32.55515039114101	34.958354215857234	0	9419.246721788611	34.958354215857234	33.765783618062244	32.88639457459776	2	0	0	0	0	0	0	0	0	0	0	0
103	31.203715694001232	0	9519.282301190337	31.203715694001232	33.79626852493612	32.62327825966893	35.11966439382646	0	9514.362479521891	35.11966439382646	33.77880170244459	32.884022164200374	2	0	0	0	0	0	0	0	0	0	0	0
104	32.4314669542309	0	9607.117524191379	32.4314669542309	33.78327041473892	33.10000525784248	36.674504335027194	0	9613.689262095922	36.674504335027194	33.8063798227549	33.74782824210041	2	0	0	0	0	0	0	0	0	0	0	0
105	32.379505781990396	0	9694.812019017603	32.379505781990396	33.770027352165826	33.92618305338994	39.6405193211904	0	9721.049001924146	39.6405193211904	33.861418874626935	34.834422782703214	2	0	0	0	0	0	0	0	0	0	0	0
106	38.798392339701415	0	9799.890998270961	38.798392339701415	33.817021417469896	35.53935037468749	38.39405327566079	0	9825.032896212395	38.39405327566079	33.90377994379548	35.71479133770764	2	0	0	0	0	0	0	0	0	0	0	0
107	46.13296744810634	0	9924.834451776249	46.13296744810634	33.9310579547906	36.573314375959235	38.483400744	0	9929.258773227395	38.483400744	33.94618384009367	36.92581902877352	2	0	0	0	0	0	0	0	0	0	0	0
108	39.73522711172234	0	10032.450691870497	39.73522711172234	33.98430721311107	37.77897017054563	35.462968818048004	0	10025.304313776274	35.462968818048004	33.960099298607005	37.81330061296778	2	0	0	0	0	0	0	0	0	0	0	0
109	37.266699079918524	0	10133.381335211943	37.266699079918524	34.01414713917296	38.29682382553654	33.63425517885859	0	10116.397088219017	33.63425517885859	33.95713707933657	37.99279890991968	2	0	0	0	0	0	0	0	0	0	0	0
110	34.86638868274413	0	10227.811137894376	34.86638868274413	34.02182499091684	38.24148719999505	34.62726430154953	0	10210.179262369047	34.62726430154953	33.96317426151867	37.74016169803097	2	0	0	0	0	0	0	0	0	0	0	0
